Year,Tipus d'embarcació,Units,Value
2015,Embarcacions d'Arts menors,Número Total,2
2016,Embarcacions d'Arts menors,Número Total,2
2017,Embarcacions d'Arts menors,Número Total,2
2018,Embarcacions d'Arts menors,Número Total,2
2019,Embarcacions d'Arts menors,Número Total,2
2020,Embarcacions d'Arts menors,Número Total,0
2021,Embarcacions d'Arts menors,Número Total,2
2015,Embarcacions d'Arrossegament,Número Total,12
2016,Embarcacions d'Arrossegament,Número Total,12
2017,Embarcacions d'Arrossegament,Número Total,10
2018,Embarcacions d'Arrossegament,Número Total,10
2019,Embarcacions d'Arrossegament,Número Total,10
2020,Embarcacions d'Arrossegament,Número Total,10
2021,Embarcacions d'Arrossegament,Número Total,9
2015,Embarcacions d'Encerclament,Número Total,22
2016,Embarcacions d'Encerclament,Número Total,22
2017,Embarcacions d'Encerclament,Número Total,21
2018,Embarcacions d'Encerclament,Número Total,15
2019,Embarcacions d'Encerclament,Número Total,15
2020,Embarcacions d'Encerclament,Número Total,14
2021,Embarcacions d'Encerclament,Número Total,14
2015,Embarcacions Auxiliars,Número Total,0
2016,Embarcacions Auxiliars,Número Total,1
2017,Embarcacions Auxiliars,Número Total,1
2018,Embarcacions Auxiliars,Número Total,1
2019,Embarcacions Auxiliars,Número Total,1
2020,Embarcacions Auxiliars,Número Total,1
2021,Embarcacions Auxiliars,Número Total,1
2015,,Número Total,36
2016,,Número Total,37
2017,,Número Total,34
2018,,Número Total,28
2019,,Número Total,28
2020,,Número Total,25
2021,,Número Total,26
