Year,Geographical_Area,Units,Value
2014,Barcelona,Percentage annual variation,
2015,Barcelona,Percentage annual variation,2.46
2016,Barcelona,Percentage annual variation,2.63
2017,Barcelona,Percentage annual variation,3.03
2018,Barcelona,Percentage annual variation,2.73
2019,Barcelona,Percentage annual variation,1.47
2014,European Union,Percentage annual variation,
2015,European Union,Percentage annual variation,2.13
2016,European Union,Percentage annual variation,1.83
2017,European Union,Percentage annual variation,2.58
2018,European Union,Percentage annual variation,2.00
2019,European Union,Percentage annual variation,1.36
2014,Spain,Percentage annual variation,
2015,Spain,Percentage annual variation,3.84
2016,Spain,Percentage annual variation,3.03
2017,Spain,Percentage annual variation,2.89
2018,Spain,Percentage annual variation,2.35
2019,Spain,Percentage annual variation,1.52
2014,Barcelona,Cumulated GDP Growth,100
2015,Barcelona,Cumulated GDP Growth,102.46
2016,Barcelona,Cumulated GDP Growth,105.16
2017,Barcelona,Cumulated GDP Growth,108.34
2018,Barcelona,Cumulated GDP Growth,111.3
2019,Barcelona,Cumulated GDP Growth,112.94
