Year,Geographical_Area,Units,Value
2016-2017,Barcelona,Percentage,4.8
2017-2018,Barcelona,Percentage,4.5
2018-2019,Barcelona,Percentage,4.7
2019-2020,Barcelona,Percentage,7.5
2016-2017,Barcelona(0-15 population),Percentage,4.6
2017-2018,Barcelona(0-15 population),Percentage,6.7
2018-2019,Barcelona(0-15 population),Percentage,9.9
2019-2020,Barcelona(0-15 population),Percentage,12.9
2016-2017,Barcelona Metropolitan Area,Percentage,5.3
2017-2018,Barcelona Metropolitan Area,Percentage,4.9
2018-2019,Barcelona Metropolitan Area,Percentage,4.5
2019-2020,Barcelona Metropolitan Area,Percentage,6.3
